Bulan,Tahun,Suhu,
Januari,2023,26.3,
Februari,2023,25.9,
Maret,2023,26.3, 
April,2023,26.6,
Mei,2023,26.6,
Juni,2023,26.3,
Juli,2023,25,
Agustus,2023,24.8,
September,2023,25.4,
Oktober,2023,27.2,
November,2023,27.7,
Desember,2023,27.3,
Januari,2022,25,
Februari,2022,26.4,
Maret,2022,26.2,
April,2022,26,
Mei,2022,26.9,
Juni,2022,25.8,
Juli,2022,25.5,
Agustus,2022,25.7,
September,2022,26.2,
Oktober,2022,25.3,
November,2022,25.6,
Desember,2022,26,
Januari,2021,26.2,
Februari,2021,26.4,
Maret,2021,26.3,
April,2021,26.7,
Mei,2021,27.1,
Juni,2021,26.3,
Juli,2021,26,
Agustus,2021,25.9,
September,2021,26.5,
Oktober,2021,26.5,
November,2021,26,
Desember,2021,26.3,
Januari,2020,27,
Februari,2020,26.7,
Maret,2020,26.8,
April,2020,27.2,
Mei,2020,27.2,
Juni,2020,26.6,
Juli,2020,25.9,
Agustus,2020,26,
September,2020,26.8,
Oktober,2020,26.7,
November,2020,26.6,
Desember,2020,26.3,
Januari,2019,25.9,
Februari,2019,26,
Maret,2019,26.4,
April,2019,27,
Mei,2019,26.5,
Juni,2019,25.7,
Juli,2019,24.6,
Agustus,2019,24.8,
September,2019,26.1,
Oktober,2019,27.5,
November,2019,27,
Desember,2019,26.5,
